variable,pooled,alspac,bib,dnbc,eden_nan,eden_poit,genr,inma_gip,inma_sab,moba,ninfea,rhea
no2,0.81,0.94,0.65,0.65,0.96,0.83,0.73,0.65,0.88,0.42,0.85,0.9
pm25,0.87,0.83,0.48,0.63,0.47,0.08,0.39,0.48,0.61,0.2,0.84,0.44
pm10,0.89,NA,0.53,NA,NA,NA,0.48,NA,0.61,0.28,0.59,NA
lden_c,0.86,0.93,1,0.9,0.98,0.99,0.84,NA,0.89,0.64,0.86,NA
greenyn300,0.95,0.95,1,0.92,1,1,0.83,0.93,0.88,0.79,0.9,1
blueyn300,-0.9,-0.95,-1,-0.91,-1,-1,-0.82,-0.88,-0.9,-0.75,-0.89,NA
ndvi300,-0.9,-0.93,-1,-0.92,-1,-1,-0.82,-0.95,-0.92,-0.73,-0.85,NA
frichness300,0.9,0.94,1,0.93,1,1,0.81,0.94,0.88,0.66,0.9,NA
walkability,0.93,0.94,1,0.93,1,1,0.82,0.94,0.86,0.7,0.9,NA
popdens,0.93,0.95,1,0.92,1,1,0.73,0.93,0.85,0.83,0.92,NA
