full_name,cohort_neat,main,ethnicity
NO2,ALSPAC,"1.05 (0.91, 1.21)","1.03 (0.9, 1.19)"
NO2,BiB,"0.16 (0.12, 0.22)","0.13 (0.1, 0.18)"
NO2,GENR,"1.07 (0.92, 1.23)","1.07 (0.92, 1.25)"
PM2.5,ALSPAC,"1.07 (0.86, 1.34)","1.06 (0.84, 1.32)"
PM2.5,BiB,"0.09 (0.06, 0.12)","0.08 (0.06, 0.11)"
PM2.5,GENR,"1.07 (0.89, 1.28)","1.08 (0.9, 1.31)"
PM10,BiB,"0.1 (0.07, 0.14)","0.1 (0.07, 0.14)"
PM10,GENR,"1.06 (0.9, 1.27)","1.08 (0.9, 1.31)"
55-55.9 dB,ALSPAC,"1.08 (0.87, 1.36)","1.12 (0.9, 1.4)"
55-55.9 dB,BiB,"1.04 (0.79, 1.39)","1.03 (0.77, 1.36)"
55-55.9 dB,GENR,"1.01 (0.7, 1.45)","1.05 (0.73, 1.51)"
60-64.9 dB,ALSPAC,"1.11 (0.84, 1.45)","1.11 (0.84, 1.45)"
60-64.9 dB,BiB,"0.73 (0.45, 1.19)","0.71 (0.44, 1.15)"
60-64.9 dB,GENR,"1.13 (0.81, 1.58)","1.15 (0.82, 1.63)"
65-69.9 dB,ALSPAC,"0.85 (0.38, 1.88)","0.83 (0.38, 1.84)"
65-69.9 dB,BiB,"0.52 (0.19, 1.43)","0.51 (0.18, 1.38)"
65-69.9 dB,GENR,"1.22 (0.85, 1.77)","1.31 (0.9, 1.9)"
>70 dB,ALSPAC,"1 (0.23, 4.35)","0.52 (0.07, 3.9)"
>70 dB,BiB,"1.26 (0.17, 9.39)","1.28 (0.17, 9.58)"
>70 dB,GENR,"1.4 (0.7, 2.83)","1.49 (0.74, 3.03)"
NDVI,ALSPAC,"0.91 (0.8, 1.04)","0.94 (0.82, 1.07)"
NDVI,BiB,"1.02 (0.85, 1.22)","1.08 (0.9, 1.31)"
NDVI,GENR,"0.88 (0.73, 1.06)","0.95 (0.79, 1.16)"
Green space > 5000m2 within 300m,ALSPAC,"1.03 (0.85, 1.23)","1.05 (0.87, 1.27)"
Green space > 5000m2 within 300m,BiB,"0.86 (0.64, 1.15)","0.9 (0.67, 1.2)"
Green space > 5000m2 within 300m,GENR,"0.91 (0.68, 1.22)","0.99 (0.73, 1.32)"
Blue space > 5000m2 within 300m,ALSPAC,"1.2 (0.9, 1.6)","1.2 (0.89, 1.6)"
Blue space > 5000m2 within 300m,BiB,"1.95 (1.04, 3.63)","2.08 (1.11, 3.9)"
Blue space > 5000m2 within 300m,GENR,"1.11 (0.86, 1.4)","1.08 (0.85, 1.39)"
Facility richness,ALSPAC,"1.16 (1.02, 1.31)","1.15 (1.01, 1.3)"
Facility richness,BiB,"0.96 (0.77, 1.19)","0.9 (0.73, 1.14)"
Facility richness,GENR,"1.05 (0.9, 1.21)","1 (0.86, 1.15)"
Walkability score,ALSPAC,"1.22 (1.07, 1.39)","1.22 (1.07, 1.4)"
Walkability score,BiB,"0.97 (0.8, 1.17)","0.9 (0.74, 1.12)"
Walkability score,GENR,"0.92 (0.73, 1.16)","0.9 (0.71, 1.14)"
Population density,ALSPAC,"1.06 (0.92, 1.23)","1.06 (0.92, 1.23)"
Population density,BiB,"0.94 (0.82, 1.08)","0.9 (0.78, 1.04)"
Population density,GENR,"2.01 (0.53, 7.61)","1.65 (0.44, 6.3)"
